personne_code	document_code	anchor	occurrence	role_code
vigarani	merveilles17_img_ano13238_015	author1	Vigarani, Carlo (d'après)	auteur
chauveau	merveilles17_img_ano13238_068	author1	Chauveau, François (d'après)	auteur
lepautre	merveilles17_img_ano13239_081	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_ano13239_081	author2	Silvestre, Israël	auteur
vigarani	merveilles17_img_ano13242a_052	author1	Vigarani, Carlo (d'après)	auteur
vigarani	merveilles17_img_ano13242a_088	author1	Vigarani, Carlo (d'après)	auteur
lepautre	merveilles17_img_ano13242a_089	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_ano13242a_089	author2	Silvestre, Israël (d'après)	auteur
lepautre	merveilles17_img_ano13242b_001	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_ano13242b_001	author2	Silvestre, Israël (d'après)	auteur
louisxiv	merveilles17_img_ano13242b_001	pers1		participant
chauveau	merveilles17_img_bnfoperaea2_034	author1	Chauveau, François	auteur
chauveau	merveilles17_img_bnfoperaea2_035	author1	Chauveau, François	auteur
louisxiv	merveilles17_img_bradamante_001	pers1	Le ROY	spectateur
lepautre	merveilles17_img_dv1alceste	author1	Lepautre, Jean (1618-1682)	auteur
lepautre	merveilles17_img_dv1alceste	pers1	le Pautre	auteur
chauveau	merveilles17_img_dv2concerts	author1	Chauveau François (1613-1676)	auteur
chauveau	merveilles17_img_dv2concerts	pers1	F. Chauveau	auteur
lepautre	merveilles17_img_dv3comedie	author1	Lepautre, Jean (1618-1682)	auteur
lepautre	merveilles17_img_dv3comedie	pers1	le Pautre	auteur
lepautre	merveilles17_img_dv4festin	author1	Lepautre, Jean (1618-1682)	auteur
lepautre	merveilles17_img_dv4festin	pers1	le Pautre	auteur
lepautre	merveilles17_img_dv5feu	author1	Lepautre, Jean (1618-1682)	auteur
lepautre	merveilles17_img_dv5feu	pers1	le Pautre	auteur
lepautre	merveilles17_img_dv6illuminations	author1	Lepautre, Jean (1618-1682)	auteur
lepautre	merveilles17_img_dv6illuminations	pers1	le Pautre	auteur
lepautre	merveilles17_img_pie1comparse	author1	Lepautre, Jean (1618-1682)	auteur
isilvestre	merveilles17_img_pie1comparse	author2	Silvestre, Israël (1621-1691).	auteur
louisxiv	merveilles17_img_pie1comparse	pers1		participant
louisxiv	merveilles17_img_pie1comparse	pers2	Roy	participant
isilvestre	merveilles17_img_pie1comparse	pers3	Israel Siluestre	auteur
lepautre	merveilles17_img_pie1course	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_pie1course	author2	Silvestre, Israël	auteur
louisxiv	merveilles17_img_pie1course	pers1		participant
louisxiv	merveilles17_img_pie1course	pers2	le Roy	participant
isilvestre	merveilles17_img_pie1course	pers3	Israel Siluestre	auteur
lepautre	merveilles17_img_pie1festin	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_pie1festin	author2	Silvestre, Israël	auteur
louisxiv	merveilles17_img_pie1festin	pers1		convive
anne_d_autriche	merveilles17_img_pie1festin	pers2		convive
marie_therese	merveilles17_img_pie1festin	pers3		convive
louisxiv	merveilles17_img_pie1festin	pers4	Roy	convive
marie_therese	merveilles17_img_pie1festin	pers5	Reynes	convive
anne_d_autriche	merveilles17_img_pie1festin	pers6	Reynes	convive
isilvestre	merveilles17_img_pie1festin	pers7	Israel Siluestre	auteur
lepautre	merveilles17_img_pie1marche	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_pie1marche	author2	Silvestre, Israël	auteur
louisxiv	merveilles17_img_pie1marche	pers1		participant
louisxiv	merveilles17_img_pie1marche	pers2	Roy	participant
isilvestre	merveilles17_img_pie1marche	pers3	Israel Siluestre	auteur
lepautre	merveilles17_img_pie1saisons	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_pie1saisons	author2	Silvestre, Israël	auteur
louisxiv	merveilles17_img_pie1saisons	pers1	Roy	spectateur
marie_therese	merveilles17_img_pie1saisons	pers2	Reynes	spectateur
anne_d_autriche	merveilles17_img_pie1saisons	pers3	Reynes	spectateur
isilvestre	merveilles17_img_pie1saisons	pers4	Israel Siluestre	auteur
lepautre	merveilles17_img_pie2comedie	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_pie2comedie	author2	Silvestre, Israël	auteur
isilvestre	merveilles17_img_pie2comedie	pers1	Israel Siluestre	auteur
lepautre	merveilles17_img_pie3feu	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_pie3feu	author2	Silvestre, Israël	auteur
isilvestre	merveilles17_img_pie3feu	pers1	Israel Siluestre	auteur
lepautre	merveilles17_img_pie3theatre	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_pie3theatre	author2	Silvestre, Israël	auteur
isilvestre	merveilles17_img_pie3theatre	pers1	Israel Siluestre	auteur
lepautre	merveilles17_img_piefront	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_piefront	author2	Silvestre, Israël	auteur
louisxiv	merveilles17_img_piefront	pers1	Roy	
isilvestre	merveilles17_img_piefront	pers2	Israel Siluestre	auteur
benserade	merveilles17_imp_amoursdballard1664	author1	Isaac de Benserade (1613-1691)	auteur
perigny	merveilles17_imp_amoursdballard1664	author2	Octave Périgny (1625-1670)	auteur
lully	merveilles17_imp_amoursdballard1664	author3	Jean-Baptiste Lully (1632-1687)	auteur
louisxiv	merveilles17_imp_amoursdballard1664	pers1	ROY	commanditaire
louisxiv	merveilles17_imp_amoursdballard1664	pers2	sa Majesté	danseur
ballard	merveilles17_imp_amoursdballard1664	pers3	ROBERT BALLARD	
louisxiv	merveilles17_imp_amoursdballard1664	pers4	Roy	
louisxiv	merveilles17_imp_amoursdballard1664	pers5	Roy	
floridor	merveilles17_imp_amoursdballard1664	pers6	Sieur Floridor	danseur
mlle_des_oeillets	merveilles17_imp_amoursdballard1664	pers7	Madlle. des Oeillets	danseur
mlle_d_ennebault	merveilles17_imp_amoursdballard1664	pers8	Madlle. de Montfleury	danseur
descouteaux	merveilles17_imp_amoursdballard1664	pers9	Descousteaux	musicien
alais	merveilles17_imp_amoursdballard1664	pers10	Alais	musicien
charlot	merveilles17_imp_amoursdballard1664	pers11	Charlot	musicien
la_pierre	merveilles17_imp_amoursdballard1664	pers12	la Pierre	danseur
le_peintre	merveilles17_imp_amoursdballard1664	pers13	le Peintre	musicien
huguenet	merveilles17_imp_amoursdballard1664	pers14	Huguenet	musicien
le_roux_aine	merveilles17_imp_amoursdballard1664	pers15	le Roux l’aisné	musicien
besson	merveilles17_imp_amoursdballard1664	pers16	Besson	musicien
martin_hottere	merveilles17_imp_amoursdballard1664	pers17	Martin Opterre	musicien
roulle	merveilles17_imp_amoursdballard1664	pers18	Roullé	musicien
la_riviere	merveilles17_imp_amoursdballard1664	pers19	la Riuiere	musicien
heuge	merveilles17_imp_amoursdballard1664	pers20	Heugé	musicien
jean_hottere	merveilles17_imp_amoursdballard1664	pers21	Iean Opterre	musicien
magny	merveilles17_imp_amoursdballard1664	pers22	Magny	danseur
piesche	merveilles17_imp_amoursdballard1664	pers23	Piesche	musicien
marchand	merveilles17_imp_amoursdballard1664	pers24	Marchand	musicien
la_caisse	merveilles17_imp_amoursdballard1664	pers25	Laquaisse	musicien
guerin	merveilles17_imp_amoursdballard1664	pers26	Guerin	musicien
destouches	merveilles17_imp_amoursdballard1664	pers27	Destouches	musicien
nicolas_hottere	merveilles17_imp_amoursdballard1664	pers28	Nicolas Opterre	musicien
la_fontaine	merveilles17_imp_amoursdballard1664	pers29	la Fontaine	musicien
brouard	merveilles17_imp_amoursdballard1664	pers30	Brouard	musicien
cabou	merveilles17_imp_amoursdballard1664	pers31	Cabou	danseur
moliere	merveilles17_imp_amoursdballard1664	pers32	Molliere	danseur
laleu	merveilles17_imp_amoursdballard1664	pers33	Laleu	danseur
dolivet	merveilles17_imp_amoursdballard1664	pers34	Doliuet	danseur
le_chantre	merveilles17_imp_amoursdballard1664	pers35	le Chantre	danseur
desbrosses	merveilles17_imp_amoursdballard1664	pers36	Des-brosses	danseur
desonnets	merveilles17_imp_amoursdballard1664	pers37	Desonets	danseur
de_gan	merveilles17_imp_amoursdballard1664	pers38	de Gan	danseur
saint_aignan	merveilles17_imp_amoursdballard1664	pers39	Le Duc de Saint-Aignan	danseur
mlle_de_verpre	merveilles17_imp_amoursdballard1664	pers40	Mademoiselle de Verpré	danseur
verpre	merveilles17_imp_amoursdballard1664	pers41	Verpré	danseur
bruneau	merveilles17_imp_amoursdballard1664	pers42	Bruneau	danseur
raynal	merveilles17_imp_amoursdballard1664	pers43	Raynal	danseur
des_airs_l_aine	merveilles17_imp_amoursdballard1664	pers44	Des-Airs	danseur
souville	merveilles17_imp_amoursdballard1664	pers45	Souuille	danseur
de_lorges	merveilles17_imp_amoursdballard1664	pers46	Lorges	danseur
balthazar	merveilles17_imp_amoursdballard1664	pers47	Balthasar	danseur
des_airs_le_second	merveilles17_imp_amoursdballard1664	pers48	Des-Airs le jeune	danseur
saint_aignan	merveilles17_imp_amoursdballard1664	pers49	Duc de Saint Aignan	danseur
louisxiv	merveilles17_imp_amoursdballard1664	pers50	LOVYS quatorziesme	destinataire
simon_blondel	merveilles17_imp_amoursdballard1664	pers51	Monsieur Blondel	chanteur
hilaire_dupuis	merveilles17_imp_amoursdballard1664	pers52	Mademoiselle Hylaire	chanteur
la_caisse	merveilles17_imp_amoursdballard1664	pers53	Laquaisse	danseur
marchand	merveilles17_imp_amoursdballard1664	pers54	Marchand	danseur
la_fontaine	merveilles17_imp_amoursdballard1664	pers55	la Fontaine	danseur
saint_andre	merveilles17_imp_amoursdballard1664	pers56	S. André	danseur
le_chantre	merveilles17_imp_amoursdballard1664	pers57	Le Chantre	danseur
desbrosses	merveilles17_imp_amoursdballard1664	pers58	Des-brosses	danseur
magny	merveilles17_imp_amoursdballard1664	pers59	Magny	danseur
le_grais	merveilles17_imp_amoursdballard1664	pers60	le Grais	musicien
le_roux_cadet	merveilles17_imp_amoursdballard1664	pers61	Le Roux le Cadet	musicien
le_peintre	merveilles17_imp_amoursdballard1664	pers62	le Peintre	musicien
besson	merveilles17_imp_amoursdballard1664	pers63	Besson	musicien
magny	merveilles17_imp_amoursdballard1664	pers64	Magny	musicien
charlot	merveilles17_imp_amoursdballard1664	pers65	Charlot	musicien
alais	merveilles17_imp_amoursdballard1664	pers66	Allais	musicien
heuge	merveilles17_imp_amoursdballard1664	pers67	Heugé	musicien
marie_therese	merveilles17_imp_amoursdballard1664	pers68	LA REYNE	danseur
olympe_mancini_soissons	merveilles17_imp_amoursdballard1664	pers69	Madame la Comtesse	danseur
mlle_de_nemours	merveilles17_imp_amoursdballard1664	pers70	Mademoiselle de Nemours	danseur
mme_de_sully	merveilles17_imp_amoursdballard1664	pers71	la Duchesse de Sully	danseur
lansac_crequi	merveilles17_imp_amoursdballard1664	pers72	la Duchesse de Crequy	danseur
anne_rohan_montbazon	merveilles17_imp_amoursdballard1664	pers73	la Duchesse de Luynes	danseur
madeleine_charlotte_albert_ailly	merveilles17_imp_amoursdballard1664	pers74	Madame de Foix	danseur
julie_montausier	merveilles17_imp_amoursdballard1664	pers75	Mademoiselle de Montausier	danseur
louise_marie_la_grange_arquien	merveilles17_imp_amoursdballard1664	pers76	Mademoiselle d’Arquien	danseur
marie_therese	merveilles17_imp_amoursdballard1664	pers77	REYNE	danseur
olympe_mancini_soissons	merveilles17_imp_amoursdballard1664	pers78	Comtesse de Soissons	danseur
mlle_de_nemours	merveilles17_imp_amoursdballard1664	pers79	Mademoiselle de Nemours	danseur
mme_de_sully	merveilles17_imp_amoursdballard1664	pers80	Duchesse de Sully	danseur
lansac_crequi	merveilles17_imp_amoursdballard1664	pers81	Duchesse de Crequy	danseur
anne_rohan_montbazon	merveilles17_imp_amoursdballard1664	pers82	Duchesse de Luynes	danseur
madeleine_charlotte_albert_ailly	merveilles17_imp_amoursdballard1664	pers83	Madame de Foix	danseur
julie_montausier	merveilles17_imp_amoursdballard1664	pers84	Mademoiselle de Montausier	danseur
louise_marie_la_grange_arquien	merveilles17_imp_amoursdballard1664	pers85	Mademoiselle d’Arquien	danseur
hj_bourbon_conde	merveilles17_imp_amoursdballard1664	pers86	Monsieur le Duc	danseur
maximilien_iv_pierre_sully	merveilles17_imp_amoursdballard1664	pers87	le Duc de Sully	danseur
louis_marie_aumont_rochebaron	merveilles17_imp_amoursdballard1664	pers88	Villequier	danseur
nicolas_neufville_villeroy	merveilles17_imp_amoursdballard1664	pers89	Villeroy	danseur
du_pille_aine	merveilles17_imp_amoursdballard1664	pers90	du Pille	danseur
la_lanne	merveilles17_imp_amoursdballard1664	pers91	de la Lanne	danseur
hj_bourbon_conde	merveilles17_imp_amoursdballard1664	pers92	Monsieur le Duc	danseur
maximilien_iv_pierre_sully	merveilles17_imp_amoursdballard1664	pers93	Duc de Sully	danseur
louis_marie_aumont_rochebaron	merveilles17_imp_amoursdballard1664	pers94	Marquis de Villequier	danseur
nicolas_neufville_villeroy	merveilles17_imp_amoursdballard1664	pers95	Marquis de Villeroy	danseur
henri_de_lorraine	merveilles17_imp_amoursdballard1664	pers96	Le Comte d’Armagnac	danseur
henri_de_daillon	merveilles17_imp_amoursdballard1664	pers97	Le Comte du Lude	danseur
florimond_ier_brulart	merveilles17_imp_amoursdballard1664	pers98	le Marquis de Genlis	danseur
mollier	merveilles17_imp_amoursdballard1664	pers99	Mollier	danseur
d_heureux	merveilles17_imp_amoursdballard1664	pers100	d’Heureux	danseur
beauchamp	merveilles17_imp_amoursdballard1664	pers101	Beauchamp	danseur
de_lorges	merveilles17_imp_amoursdballard1664	pers102	le Sieur de Lorge	danseur
henri_de_lorraine	merveilles17_imp_amoursdballard1664	pers103	le Comte d’Armagnac	danseur
henri_de_daillon	merveilles17_imp_amoursdballard1664	pers104	le Comte du Lude	danseur
cm_de_belleforiere	merveilles17_imp_amoursdballard1664	pers105	le Marquis de Saucour	danseur
florimond_ier_brulart	merveilles17_imp_amoursdballard1664	pers106	le Marquis de Genlis	danseur
piesche	merveilles17_imp_amoursdballard1664	pers107	Piesche	musicien
descouteaux	merveilles17_imp_amoursdballard1664	pers108	Descousteaux	musicien
jean_hottere	merveilles17_imp_amoursdballard1664	pers109	les trois Hotterres	musicien
martin_hottere	merveilles17_imp_amoursdballard1664	pers110	les trois Hotterres	musicien
nicolas_hottere	merveilles17_imp_amoursdballard1664	pers111	les trois Hotterres	musicien
destouches	merveilles17_imp_amoursdballard1664	pers112	Destouches	musicien
besson	merveilles17_imp_amoursdballard1664	pers113	Besson	musicien
le_peintre	merveilles17_imp_amoursdballard1664	pers114	le Peintre	musicien
le_roux_aine	merveilles17_imp_amoursdballard1664	pers115	le Roux l’aisné	musicien
charlot	merveilles17_imp_amoursdballard1664	pers116	Charlot	musicien
heuge	merveilles17_imp_amoursdballard1664	pers117	Heugé	musicien
la_riviere	merveilles17_imp_amoursdballard1664	pers118	la Riuiere	musicien
roulle	merveilles17_imp_amoursdballard1664	pers119	Roullé	musicien
huguenet	merveilles17_imp_amoursdballard1664	pers120	Huguenet	musicien
le_grais	merveilles17_imp_amoursdballard1664	pers121	le Grais	musicien
marchand	merveilles17_imp_amoursdballard1664	pers122	Marchand	musicien
la_caisse	merveilles17_imp_amoursdballard1664	pers123	Laquaisse	musicien
la_fontaine	merveilles17_imp_amoursdballard1664	pers124	la Fontaine	musicien
louisxiv	merveilles17_imp_amoursdballard1664	pers125	LE ROY	danseur
rassan	merveilles17_imp_amoursdballard1664	pers126	Le Marquis de Rassan	danseur
raynal	merveilles17_imp_amoursdballard1664	pers127	le Sieur Raynal	danseur
louisxiv	merveilles17_imp_amoursdballard1664	pers128	LE ROY	danseur
saint_aignan	merveilles17_imp_amoursdballard1664	pers129	Duc de Saint Aignan	danseur
beauchamp	merveilles17_imp_amoursdballard1664	pers130	M. Beauchamp	danseur
saint_aignan	merveilles17_imp_amoursdballard1664	pers131	le Duc de Saint Aignan	danseur
marie_francoise_d_aumale	merveilles17_imp_amoursdballard1664	pers132	Mademoiselle d’Aumalle	danseur
mme_de_villequier	merveilles17_imp_amoursdballard1664	pers133	Madame de Villequier	danseur
marie_brancas	merveilles17_imp_amoursdballard1664	pers134	Brancas	danseur
louise_rouxel_grancey	merveilles17_imp_amoursdballard1664	pers135	Grancé	danseur
marie_charlotte_gramont	merveilles17_imp_amoursdballard1664	pers136	Castelnau	danseur
anne_de_la_mothe_houdancourt	merveilles17_imp_amoursdballard1664	pers137	la Mothe,	danseur
mlle_d_ardennes	merveilles17_imp_amoursdballard1664	pers138	Dardennes	danseur
mlle_de_cologon	merveilles17_imp_amoursdballard1664	pers139	Cologeon	danseur
mlle_de_pons	merveilles17_imp_amoursdballard1664	pers140	Pons	danseur
marie_francoise_d_aumale	merveilles17_imp_amoursdballard1664	pers141	Mademoiselle d’Aumalle	danseur
mme_de_villequier	merveilles17_imp_amoursdballard1664	pers142	Madame de Villequier	danseur
marie_brancas	merveilles17_imp_amoursdballard1664	pers143	Mademoiselle de Brancas	danseur
louise_rouxel_grancey	merveilles17_imp_amoursdballard1664	pers144	Mademoiselle de Grancé	danseur
marie_charlotte_gramont	merveilles17_imp_amoursdballard1664	pers145	Mademoiselle de Castelnau	danseur
anne_de_la_mothe_houdancourt	merveilles17_imp_amoursdballard1664	pers146	Mademoiselle de la Mothe	danseur
mlle_d_ardennes	merveilles17_imp_amoursdballard1664	pers147	Mademoiselle Dardennes	danseur
mlle_de_cologon	merveilles17_imp_amoursdballard1664	pers148	Mademoiselle de Cologeon	danseur
mlle_de_pons	merveilles17_imp_amoursdballard1664	pers149	Mademoiselle de Pons	danseur
anna_bergerotti	merveilles17_imp_amoursdballard1664	pers150	Seignora Anna	chanteur
comte_gonore	merveilles17_imp_amoursdballard1664	pers151	Le Comte de Gonore	danseur
petit_beaumont	merveilles17_imp_amoursdballard1664	pers152	le petit Beaumont	danseur
paul	merveilles17_imp_amoursdballard1664	pers153	Le petit Paul	danseur
des_airs_fils1	merveilles17_imp_amoursdballard1664	pers154	le petit des-Airs	danseur
favier	merveilles17_imp_amoursdballard1664	pers155	le petit Fauier	danseur
de_lorges	merveilles17_imp_amoursdballard1664	pers156	de Lorge	danseur
mlles_chateau_assier	merveilles17_imp_amoursdballard1664	pers157	Chasteau d’Assier	danseur
mlle_montlaur	merveilles17_imp_amoursdballard1664	pers158	Montlaur	danseur
mlle_cambray	merveilles17_imp_amoursdballard1664	pers159	Cambray	danseur
mlle_de_la_vallee	merveilles17_imp_amoursdballard1664	pers160	de la Vallée	danseur
mlle_de_ribera	merveilles17_imp_amoursdballard1664	pers161	de Ribera	danseur
cm_de_belleforiere	merveilles17_imp_amoursdballard1664	pers162	Le Marquis de Saucourt	danseur
bontemps	merveilles17_imp_amoursdballard1664	pers163	Monsieur Bontemps	danseur
manceau	merveilles17_imp_amoursdballard1664	pers164	Manseau	danseur
mercier	merveilles17_imp_amoursdballard1664	pers165	Mercier	danseur
du_pron	merveilles17_imp_amoursdballard1664	pers166	du Pron	danseur
noblet	merveilles17_imp_amoursdballard1664	pers167	Noblet	danseur
cm_de_belleforiere	merveilles17_imp_amoursdballard1664	pers168	Le Marquis de Saucourt	danseur
philippe_orleans	merveilles17_imp_amoursdballard1664	pers169	MONSIEVR	danseur
nicolas_neufville_villeroy	merveilles17_imp_amoursdballard1664	pers170	Marquis de Villeroy	danseur
rassan	merveilles17_imp_amoursdballard1664	pers171	de Rassan	danseur
la_lanne	merveilles17_imp_amoursdballard1664	pers172	de la Lanne	danseur
du_pille_aine	merveilles17_imp_amoursdballard1664	pers173	du Pille	danseur
marie_lorraine_elbeuf	merveilles17_imp_amoursdballard1664	pers174	Mademoiselle Delbeuf	danseur
madame_montespan	merveilles17_imp_amoursdballard1664	pers175	Madame de Montespan	danseur
mme_de_vibray	merveilles17_imp_amoursdballard1664	pers176	Madame de Vibray	danseur
francoise_de_sevigne_grignan	merveilles17_imp_amoursdballard1664	pers177	Mademoiselle de Seuigny	danseur
philippe_orleans	merveilles17_imp_amoursdballard1664	pers178	MONSIEVR	danseur
nicolas_neufville_villeroy	merveilles17_imp_amoursdballard1664	pers179	le Marquis de Villeroy	danseur
rassan	merveilles17_imp_amoursdballard1664	pers180	le Marquis de Rassan	danseur
marie_lorraine_elbeuf	merveilles17_imp_amoursdballard1664	pers181	Mademoiselle Delbeuf	danseur
madame_montespan	merveilles17_imp_amoursdballard1664	pers182	Madame de Montespan	danseur
mme_de_vibray	merveilles17_imp_amoursdballard1664	pers183	Madame de Vibray	danseur
francoise_de_sevigne_grignan	merveilles17_imp_amoursdballard1664	pers184	Mademoiselle de Seuigny	danseur
henri_ii_de_guise	merveilles17_imp_amoursdballard1664	pers185	Le Duc de Guise	danseur
d_heureux	merveilles17_imp_amoursdballard1664	pers186	d’Heureux	danseur
beauchamp	merveilles17_imp_amoursdballard1664	pers187	Beauchamp	danseur
chicanneau	merveilles17_imp_amoursdballard1664	pers188	Chicanneau	danseur
de_lorges	merveilles17_imp_amoursdballard1664	pers189	Lorge	danseur
de_gan	merveilles17_imp_amoursdballard1664	pers190	Gan	danseur
des_airs_le_second	merveilles17_imp_amoursdballard1664	pers191	Des-Airs le cadet	danseur
souville	merveilles17_imp_amoursdballard1664	pers192	Monsieur de Souuille	danseur
raynal	merveilles17_imp_amoursdballard1664	pers193	Messieurs Raynal	danseur
la_marre	merveilles17_imp_amoursdballard1664	pers194	de la Marre	danseur
paysan	merveilles17_imp_amoursdballard1664	pers195	Paysan	danseur
le_chantre	merveilles17_imp_amoursdballard1664	pers196	le Chantre	danseur
des_airs_fils1	merveilles17_imp_amoursdballard1664	pers197	Des-Airs. 3me	danseur
du_feu	merveilles17_imp_amoursdballard1664	pers198	du Feu	danseur
henri_ii_de_guise	merveilles17_imp_amoursdballard1664	pers199	le Duc de Guise	danseur
cercamanan	merveilles17_imp_amoursdballard1664	pers200	Mademoiselle de Cercamanan	chanteur
lully	merveilles17_imp_amoursdballard1664	pers201	Monsieur Lully	danseur
paysan	merveilles17_imp_amoursdballard1664	pers202	Paysan	danseur
balthazar	merveilles17_imp_amoursdballard1664	pers203	Balthasar	musicien
brouard	merveilles17_imp_amoursdballard1664	pers204	Brouard	danseur
noblet	merveilles17_imp_amoursdballard1664	pers205	Noblet	danseur
la_pierre	merveilles17_imp_amoursdballard1664	pers206	la Pierre	danseur
saint_andre	merveilles17_imp_amoursdballard1664	pers207	S. André	danseur
desbrosses	merveilles17_imp_amoursdballard1664	pers208	Des-brosses	danseur
lully	merveilles17_imp_amoursdballard1664	pers209	Monsieur de Lully	danseur
anonyme	merveilles17_imp_anonyme_1685-styl_GL_YD	author	ANONYME	auteur
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers1	MONSEIGNEUR LE DAUPHIN	organisation
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers2	Monseigneur le Dauphin	organisation
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers3	MONSEIGNEUR LE DAUPHIN	organisation
louisxiv	merveilles17_imp_anonyme_1685-styl_GL_YD	pers4	Roy	commanditaire
louisxiv	merveilles17_imp_anonyme_1685-styl_GL_YD	pers5	Sa Majesté	commanditaire
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers6	Monseigneur le Dauphin	organisation
louisxiv	merveilles17_imp_anonyme_1685-styl_GL_YD	pers7	Roy	commanditaire
louisxiv	merveilles17_imp_anonyme_1685-styl_GL_YD	pers8	le Roy	commanditaire
louisxiv	merveilles17_imp_anonyme_1685-styl_GL_YD	pers9	Sa Majesté	commanditaire
louisxiv	merveilles17_imp_anonyme_1685-styl_GL_YD	pers10	le Roy	commanditaire
louisxiv	merveilles17_imp_anonyme_1685-styl_GL_YD	pers11	Sa Majesté	commanditaire
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers12	Monseigneur le Dauphin	organisation
saint_aignan	merveilles17_imp_anonyme_1685-styl_GL_YD	pers13	Monsieur le Duc de S. Aignan	organisation
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers14	ce Prince	organisation
marie_anne_baviere	merveilles17_imp_anonyme_1685-styl_GL_YD	pers15	Madame la Dauphine	organisation
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers16	Monseigneur le Dauphin	organisation
hyacinthe_dumont	merveilles17_imp_anonyme_1685-styl_GL_YD	pers17	Mr du Mont, Major des Quadrilles	participant
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers18	Monseigneur le Dauphin	participant
saint_aignan	merveilles17_imp_anonyme_1685-styl_GL_YD	pers19	Monsieur le Duc de S. Aignan, Maréchal de Camp General.	participant
saint_aignan	merveilles17_imp_anonyme_1685-styl_GL_YD	pers20	Monsieur le Duc de S. Aignan	participant
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers21	Monseigneur le Dauphin	participant
saint_aignan	merveilles17_imp_anonyme_1685-styl_GL_YD	pers22	Monsieur le Duc de S. Aignan	participant
claude_vertron	merveilles17_imp_anonyme_1685-styl_GL_YD	pers23	Mr de Vertron	auteur
henri_casaus	merveilles17_imp_anonyme_1685-styl_GL_YD	pers24	Monsieur de Casaux	participant
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers25	Monseigneur le Dauphin	participant
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers26	Monseigneur le Dauphin	participant
léon_dugard	merveilles17_imp_anonyme_1685-styl_GL_YD	pers27	Monsieur du Gast	participant
valentin_neuville	merveilles17_imp_anonyme_1685-styl_GL_YD	pers28	Monsieur de Neuville	participant
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers29	Monseigneur le Dauphin	participant
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers30	Monseigneur le Dauphin	participant
gassion	merveilles17_imp_anonyme_1685-styl_GL_YD	pers31	Mr de Gassion	participant
isaac_courtin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers32	Mr de Saussoy	participant
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers33	Monseigneur le Dauphin	participant
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers34	Monseigneur le Dauphin	participant
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers35	Monseigneur le Dauphin	participant
philippe_dangeau	merveilles17_imp_anonyme_1685-styl_GL_YD	pers36	Marquis de Dangeau	participant
louis_grand_dauphin	merveilles17_imp_anonyme_1685-styl_GL_YD	pers37	Monseigneur le Dauphin	participant
blanchefort_crequy	merveilles17_imp_anonyme_1685-styl_GL_YD	pers38	Monsieur le Marquis de Créquy	participant
louis_nangis	merveilles17_imp_anonyme_1685-styl_GL_YD	pers39	Monsieur le Marquis de Nangis	participant
henri_brionne	merveilles17_imp_anonyme_1685-styl_GL_YD	pers40	Monsieur le Comte de Brionne,	participant
charles_trémoille	merveilles17_imp_anonyme_1685-styl_GL_YD	pers41	Monsieur le Duc de la Trimoüille	participant
philippe_vendome	merveilles17_imp_anonyme_1685-styl_GL_YD	pers42	Monsieur le Grand Prieur	participant
louis_mailly	merveilles17_imp_anonyme_1685-styl_GL_YD	pers43	Monsieur de Mailly	participant
francois_rocheguyon	merveilles17_imp_anonyme_1685-styl_GL_YD	pers44	Monsieur de la Rocheguion	participant
henri_elbeuf	merveilles17_imp_anonyme_1685-styl_GL_YD	pers45	Monsieur le Prince d’Elbeuf	participant
louis_vendome	merveilles17_imp_anonyme_1685-styl_GL_YD	pers46	Monsieur le Duc de Vendosme	participant
