code	nom	genre	naissance	mort	databnf	wikipedia	ISNI
lesperviers							
lienard							
lionnois							
loubie							
louis_bejart							
louis_crevant							
louis_d_escre							
louis_desore							
louis_don							
louis_grand_dauphin							
louis_hottere							
louis_ii_bourbon_conde							
louis_lazure							
louis_lenormand							
louis_marie_aumont_rochebaron							
louise_la_valliere							
louise_rouxel_grancey							
louise_savoie_bade							
louisxiii							
louisxiv	Louis XIV 						
louisxiv marie_theres eanne_d_autriche							
louisxiv marie_therese							
louisxiv marie_therese anne_d_autriche							
louisxiv monsieur							
lully							
madame							
madame_montespan							
madeleine_bejart							
madeleine_charlotte_albert_ailly							
madeleine_du_gast_d_artigny							
madeleine_du_guast_d_artigny							
magny							
magontier_garde_vaisselle							
maheu							
maille_breze_conde							
manceau							
mancini_soissons							
marchand							
marche_coquet							
marguerite_cambout_armagnac							
marie_bauffremont_fleix							
marie_bourbon_carignan							
marie_brancas							
marie_cosse_brissac							
marie_jeanne_d_aumale							
marie_lorraine_elbeuf							
marie_louise_orleans							
marie_nemours							
marie_therese							
marie_therese anne_d_autriche							
marin_prevost							
marquis_fourilles							
martin_hottere							
martineau							
maslou							
maximillien_IV_pierre_sully							
mazuel							
mercier							
mespas							
mettayer							
michel_chabenat_bonneuil							
michel_d_aligre							
millet							
mlle_d_ardennes							
mlle_d_ennebault							
mlle_de_brie							
mlle_de_cologon							
mlle_de_la_barre							
mlle_de_nemours							
mlle_des_oeillets							
mlle_la_barre							
mme_de_brancas							
mme_de_crussol							
mme_de_marse							
mme_de_sevigne							
molier							
moliere							
molière							
molliere							
mongin							
monsieur							
monstres							
mont_plaisirs							
montigny							
morsique							
mortier							
nicolas_hottere							
nicolas_neufville_villeroy							
nicolas_serin							
nobet							
noblet							
olympe_macini							
olympe_mancini							
olympe_mancini_soissons							
orleans							
paisible							
palluau							
parfait_fils							
parfait_frere							
parfait_pere							
patriere							
paul							
paul_chantelou							
paul_scarron							
paysan							
pelau							
perigny							
pernaut							
pesan							
petit							
petits_gardcons							
philippe_quinault							
pidou							
pierre_pernin_crenan							
pierrot							
piesche							
pietro_strozzi							
prevert							
racine							
rambure							
raynal							
raynald							
renaudin							
rhodes							
richard							
riemer							
rimberlieu							
robbe							
romecourt							
roseau							
roule							
roulle							
saint_aignan							
saint_andre							
saint_fontaine_fils							
saint_jean							
saint_paul							
sainte_maure							
samufin							
sandricourt							
servien_saint_aignan							
sigismondo_chigi							
simon_chuppin							
souville							
sudan							
suisses							
tartaille							
tartas							
therese_du_parc							
therese_duparc							
tissin							
tissu							
tours_quintener							
trouvain							
turbau							
tutin							
tutin_fils							
vagnard							
vagnard_fils							
vandesure							
varin							
vendelle							
verdelet							
victor_herck							
vigarani							
vincent_voiture							
