lieu_code	document_code	anchor	occurrence	desc
versailles_jardins_bassin_apollon	merveilles17_i_dv-felibien1676	placeName28	le bassin d’Apollon	
versailles_canal	merveilles17_i_dv-felibien1676	placeName29	le canal	
versailles_jardins	merveilles17_i_dv-felibien1676	placeName30	le grand Parc	
versailles_chateau	merveilles17_i_dv-felibien1676	placeName31	Chasteau	
versailles_canal	merveilles17_i_dv-felibien1676	placeName32	Canal	
versailles_cour	merveilles17_i_dv-felibien1676	placeName33	la petite cour de marbre	
versailles_jardins_petit_parc	merveilles17_i_dv-felibien1676	placeName34	le petit Parc	
versailles_orangerie	merveilles17_i_dv-felibien1676	placeName35	l’Orangerie	
versailles_canal	merveilles17_i_dv-felibien1676	placeName36	milieu du Canal	
versailles_jardins_bassin_apollon	merveilles17_i_dv-felibien1676	placeName37	le bassin d’Apollon	
versailles_canal	merveilles17_i_dv-felibien1676	placeName38	le Canal	
versailles_canal	merveilles17_i_dv-felibien1676	placeName39	Canal	
versailles_canal	merveilles17_i_dv-felibien1676	placeName40	le Canal	
versailles_canal	merveilles17_i_dv-felibien1676	placeName41	Canal	
versailles_canal	merveilles17_i_dv-felibien1676	placeName42	Canal	
versailles_canal	merveilles17_i_dv-felibien1676	placeName43	Canal	
versailles_canal	merveilles17_i_dv-felibien1676	placeName44	le Canal	
versailles_canal	merveilles17_i_dv-felibien1676	placeName45	les bords du grand Canal	
	merveilles17_i_dv-felibien1676	placeName46	Chasteau	
versailles_jardins_grande_terrasse	merveilles17_i_dv-felibien1676	placeName47	La grande terasse	
versailles_jardins_petit_parc	merveilles17_i_dv-felibien1676	placeName48	le petit Parc	
versailles_jardins_bassin_apollon	merveilles17_i_dv-felibien1676	placeName49	le bassin d’Apollon	
versailles_canal	merveilles17_i_dv-felibien1676	placeName50	le grand Canal	
versailles_jardins_bassin_apollon	merveilles17_i_dv-felibien1676	placeName51	bassin d’Apollon	
versailles_canal	merveilles17_i_dv-felibien1676	placeName52	le Canal	
versailles_jardins	merveilles17_i_dv-felibien1676	placeName53	le grand Parc de Versailles	
versailles_canal	merveilles17_i_dv-felibien1676	placeName54	grand Canal	
versailles_trianon	merveilles17_i_dv-felibien1676	placeName55	Trianon	
