clé	entrée	occurrence	fichier
versailles_jardins_dragon	Allée et fontaine du Dragon	l’allée du Dragon	merveilles17_i_dv-felibien1676
versailles_jardins	Jardins de Versailles	la tour d’eau	merveilles17_i_dv-felibien1676
versailles_jardins	Jardins de Versailles	un jardin	merveilles17_i_dv-felibien1676
versailles_jardins_petit_parc	Petit Parc de Versailles	le petit Parc	merveilles17_i_dv-felibien1676
versailles_jardins_bassin_apollon	Bassin des Cygnes/Lac d'Alcine	le bassin d’Apollon	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	le canal	merveilles17_i_dv-felibien1676
versailles_jardins	Jardins de Versailles	le grand Parc	merveilles17_i_dv-felibien1676
versailles_chateau	Château de Versailles	Chasteau	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	Canal	merveilles17_i_dv-felibien1676
versailles_cour	Cour de Versailles	la petite cour de marbre	merveilles17_i_dv-felibien1676
versailles_jardins_petit_parc	Petit Parc de Versailles	le petit Parc	merveilles17_i_dv-felibien1676
versailles_orangerie	L'Orangerie	l’Orangerie	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	milieu du Canal	merveilles17_i_dv-felibien1676
versailles_jardins_bassin_apollon	Bassin des Cygnes/Lac d'Alcine	le bassin d’Apollon	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	le Canal	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	Canal	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	le Canal	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	Canal	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	Canal	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	Canal	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	le Canal	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	les bords du grand Canal	merveilles17_i_dv-felibien1676
		Chasteau	merveilles17_i_dv-felibien1676
