code;titre;description;sql_where 
div1664;Les divertissements de la cour en 1664;Tous les divertissements de la cour en 1664;code IN (SELECT document_code FROM chrono_document WHERE chrono IN (SELECT id FROM chrono WHERE start LIKE '1664%')) 
versailles;Les fêtes de Versailles;Les divertissements de la cour à Versailles;code IN (SELECT document_code FROM lieu_document WHERE lieu IN (SELECT id FROM lieu WHERE path LIKE '/france/ile-de-france/versailles%')) 
ballets;Les ballets à la cour; Sélection de ballets et de comédies-ballets dansées à la cour;code IN (SELECT document_code FROM chrono_document WHERE chrono IN (SELECT id FROM chrono WHERE LOWER(label) LIKE '%ballet%')) 
improyale; Les livres de fêtes de l’Imprimerie royale; Les fêtes dans la collection du Cabinet du Roi: les livres illustrés de l’Imprimerie royale;publine LIKE '%Imprimerie royale%' 
flandres17; Voyages de Louis XIV dans les Flandres; Publications entourant les entrées et fêtes en l’honneur de Louis XIV dans les villes conquises des Flandres et du Hainaut;LOWER(code) LIKE '%flandres17%' 
antilope;Villers-Cotterêts;Publications entourant la fête célébrant le sacre de Louis XV;LOWER(code) LIKE '%antilope%'
